,Latitude,Longitude,Depth_m,x,y,z,Time
258,42.67000969,-84.64573931,-0.95,0.881,0.0,177.604,2003-01-08T14:06:47
259,42.67001632,-84.6457303,-0.91,0.348,-1.0,178.176,2003-01-08T14:07:38
260,42.67002295,-84.64573931,-0.89,0.06,-1.0,177.684,2003-01-08T14:07:50
261,42.67001632,-84.6457303,-0.89,-1.0,-1.0,-1.0,2003-01-08T14:07:50
262,42.67002295,-84.64573931,-0.9,0.018,-1.0,176.549,2003-01-08T14:07:51
263,42.6700362,-84.64573931,-0.93,0.08,-1.0,176.25,2003-01-08T14:08:09
264,42.67004946,-84.64573931,-0.9,0.074,-1.0,176.543,2003-01-08T14:08:19
265,42.67004283,-84.64572129,-0.89,0.21,-1.0,176.339,2003-01-08T14:08:58
266,42.6700362,-84.6457303,-0.95,0.592,-1.0,175.371,2003-01-08T14:09:06
267,42.67002957,-84.64572129,-0.88,0.395,-1.0,175.198,2003-01-08T14:09:12
268,42.67002295,-84.6457303,-0.83,0.039,-1.0,176.164,2003-01-08T14:09:15
269,42.67001632,-84.64572129,-0.93,0.18,-1.0,175.374,2003-01-08T14:09:40
270,42.67000969,-84.64574833,-0.97,0.152,-1.0,189.727,2003-01-08T14:10:39
271,42.67002295,-84.64574833,-0.6,0.02,-1.0,205.692,2003-01-08T14:10:51
272,42.67001632,-84.64575734,-0.6,0.012,-1.0,205.917,2003-01-08T14:11:05
273,42.67000969,-84.64574833,-0.6,0.005,-1.0,205.349,2003-01-08T14:12:02
274,42.67000306,-84.64573931,-0.59,0.007,-1.0,205.403,2003-01-08T14:12:14
275,42.66998981,-84.64573931,-0.58,0.017,-1.0,205.493,2003-01-08T14:12:36
276,42.66999644,-84.6457303,-1.02,0.101,-1.0,197.175,2003-01-08T14:13:00
277,42.67000969,-84.6457303,-0.54,0.091,-1.0,197.316,2003-01-08T14:13:08
278,42.6700362,-84.64572129,-0.6,0.273,-1.0,205.202,2003-01-08T14:14:40
279,42.67000969,-84.64573931,-0.63,3.132,0.55,201.603,2003-01-08T14:16:18
280,42.67001632,-84.6457303,-0.47,3.335,0.555,199.111,2003-01-08T14:16:21
281,42.67002295,-84.64570326,-0.62,2.322,0.058,208.11,2003-01-08T14:17:29
282,42.67006934,-84.64569425,-1.25,30.793,19.158,152.284,2003-01-08T14:18:00
283,42.67006934,-84.64567622,-1.47,59.425,33.237,187.366,2003-01-08T14:18:13
284,42.67006271,-84.64566721,-1.64,72.712,42.759,187.793,2003-01-08T14:18:24
285,42.67004946,-84.64566721,-1.79,74.964,49.562,189.251,2003-01-08T14:18:43
286,42.6700362,-84.64567622,-1.84,74.039,52.133,189.007,2003-01-08T14:18:52
287,42.67002957,-84.64568523,-1.9,76.024,55.686,187.3,2003-01-08T14:18:59
288,42.6700362,-84.64567622,-1.81,81.183,58.675,189.613,2003-01-08T14:19:21
289,42.67004283,-84.64565819,-1.73,87.747,60.545,192.14,2003-01-08T14:19:33
290,42.67004946,-84.64566721,-1.79,85.288,59.246,189.693,2003-01-08T14:19:43
291,42.67005608,-84.64565819,-1.9,79.313,59.806,186.768,2003-01-08T14:20:07
292,42.67006271,-84.64564918,-1.87,76.209,59.95,185.3,2003-01-08T14:20:17
293,42.67006934,-84.64564017,-1.78,66.329,46.551,188.113,2003-01-08T14:20:34
294,42.67007596,-84.64563115,-1.84,61.106,37.877,192.318,2003-01-08T14:20:38
295,42.67008259,-84.64562214,-1.87,66.148,43.305,194.769,2003-01-08T14:20:39
296,42.67008922,-84.64560411,-1.85,68.679,44.646,194.773,2003-01-08T14:20:41
297,42.67009585,-84.6455951,-1.87,67.787,43.3,193.044,2003-01-08T14:20:42
298,42.67010247,-84.64558609,-1.89,66.03,44.925,192.192,2003-01-08T14:20:43
299,42.6701091,-84.64556806,-1.81,72.523,49.583,195.196,2003-01-08T14:20:45
300,42.67011573,-84.64555905,-1.77,79.979,53.453,198.922,2003-01-08T14:20:46
301,42.67012236,-84.64555003,-1.74,79.325,52.427,197.635,2003-01-08T14:20:47
302,42.67012898,-84.64554102,-1.71,76.51,50.131,193.59,2003-01-08T14:20:48
